ticker,date,period_ending,estimate,reported,surprise,surprise%
A,2024-08-21,2024-07-31,1.26,1.32,0.06,4.7619
AA,2024-07-17,2024-06-30,0.09,0.16,0.07,77.7778
AAL,2024-07-25,2024-06-30,1.05,1.09,0.04,3.8095
AAOI,2024-08-06,2024-06-30,-0.29,-0.28,0.01,3.4483
AAON,2024-08-01,2024-06-30,0.51,0.62,0.11,21.5686
AAP,2024-08-22,2024-06-30,0.94,0.75,-0.19,-20.2128
AAPL,2024-08-01,2024-06-30,1.35,1.4,0.05,3.7037
AAT,2024-07-30,2024-06-30,0.14,0.2,0.06,42.8571
ABBV,2024-07-25,2024-06-30,2.57,2.65,0.08,3.1128
ABCB,2024-07-25,2024-06-30,1.14,1.17,0.03,2.6316
ABG,2024-08-02,2024-06-30,7.33,6.4,-0.93,-12.6876
ABM,2024-09-06,2024-07-31,0.86,0.94,0.08,9.3023
ABNB,2024-08-06,2024-06-30,0.92,0.86,-0.06,-6.5217
ABR,2024-08-02,2024-06-30,0.41,0.45,0.04,9.7561
ABSI,2024-08-14,2024-06-30,-0.19,-0.22,-0.03,-15.7895
ABT,2024-07-18,2024-06-30,1.1,1.14,0.04,3.6364
ABUS,2024-08-01,2024-06-30,-0.1,-0.11,-0.01,-10.0
ACA,2024-08-01,2024-06-30,0.83,0.91,0.08,9.6386
ACAD,2024-08-06,2024-06-30,0.18,0.2,0.02,11.1111
ACCD,2024-06-27,2024-05-31,-0.48,-0.35,0.13,27.0833
ACCO,2024-08-01,2024-06-30,0.31,0.37,0.06,19.3548
ACDC,2024-08-08,2024-06-30,0.12,-0.02,-0.14,-116.6667
ACEL,2024-07-30,2024-06-30,0.21,0.25,0.04,19.0476
ACGL,2024-07-30,2024-06-30,2.21,2.57,0.36,16.2896
ACHC,2024-07-31,2024-06-30,0.87,0.91,0.04,4.5977
ACHR,2024-08-08,2024-06-30,-0.33,-0.32,0.01,3.0303
ACI,2024-07-23,2024-05-31,0.67,0.66,-0.01,-1.4925
ACIW,2024-08-01,2024-06-30,0.07,0.29,0.22,314.2857
ACLS,2024-07-31,2024-06-30,1.37,1.55,0.18,13.1387
ACLX,2024-08-09,2024-06-30,-0.5002,-0.51,-0.0098,-1.9592
ACM,2024-08-05,2024-06-30,1.13,1.16,0.03,2.6549
ACMR,2024-08-07,2024-06-30,0.35,0.55,0.2,57.1429
ACN,2024-06-20,2024-05-31,3.15,3.13,-0.02,-0.6349
ACNB,2024-07-24,2024-06-30,0.84,1.32,0.48,57.1429
ACRE,2024-08-06,2024-06-30,0.12,-0.11,-0.23,-191.6667
ACT,2024-07-31,2024-06-30,0.99,1.27,0.28,28.2828
ACTG,2024-08-08,2024-06-30,0.08,-0.08,-0.16,-200.0
ACVA,2024-08-07,2024-06-30,-0.11,-0.1,0.01,9.0909
ADBE,2024-06-13,2024-05-31,4.39,4.48,0.09,2.0501
ADC,2024-07-23,2024-06-30,0.44,0.52,0.08,18.1818
ADCT,2024-08-06,2024-06-30,-0.46,-0.38,0.08,17.3913
ADEA,2024-08-06,2024-06-30,0.23,0.28,0.05,21.7391
